,year,country_of_production,coffee_bean,water_shortage_index,department,municipality_of_export,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,department_trase_id
1869,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,INTER AMERICAN COFFEE INC,INTER AMERICAN COFFEE INC,UNITED KINGDOM,EUROPEAN UNION,38.529,181773.8,CO-00
1870,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,C I KYOTO S A S,C I KYOTO S A S,INTERAMERICAN COFFEE INC U SA,INTERAMERICAN COFFEE INC U SA,UNITED STATES,UNITED STATES,38.528000000000006,186864.66,CO-00
1871,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ECHEVERRI Y LOPEZ LTDA,ECHEVERRI Y LOPEZ LTDA,ANTHEM COFFEE IMPORTS,ANTHEM COFFEE IMPORTS,UNITED STATES,UNITED STATES,38.527,155254.22999999998,CO-00
1872,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,COMPANIA NACIONAL DE CAFE SAS,COMPANIA NACIONAL DE CAFE SAS,RBH TRADING COMPANY CO LTD,RBH TRADING COMPANY CO LTD,SOUTH KOREA,SOUTH KOREA,38.525000000000006,178391.62,CO-00
1873,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SUCAFINA COLOMBIA S A S,SUCAFINA COLOMBIA S A S,SUMITOMO WAREHOUSE SHANGHAI LTD,SUMITOMO CORPORATION,CHINA (MAINLAND),CHINA (MAINLAND),38.525,154297.16999999998,CO-00
1874,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,REHM KOREA CO LTDA,REHM KOREA CO LTDA,SOUTH KOREA,SOUTH KOREA,38.524,171131.21000000002,CO-00
1875,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,COMPANIA COLOMBIANA AGROINDUSTRIAL SAS,COMPANIA COLOMBIANA AGROINDUSTRIAL SAS,G BIJDENDIJK BV,G BIJDENDIJK BV,BELGIUM,EUROPEAN UNION,38.521,154305.81,CO-00
1876,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,HARRISONS COFFEE LTD,HARRISONS COFFEE LTD,NEW ZEALAND,NEW ZEALAND,38.521,171172.59,CO-00
1877,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,MITSUI AND CO LTD COFFEE DEPARTMENT,MITSUI AND CO LTD COFFEE DEPARTMENT,UNITED STATES,UNITED STATES,38.521,171550.27000000002,CO-00
1878,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,CIA CAFETERA LA MESETA S A,CIA CAFETERA LA MESETA S A,BIRLIK BAHARAT SAN TIC LTD,BIRLIK BAHARAT SAN TIC LTD,TURKEY,TURKEY,38.521,143325.91,CO-00
