,year,country_of_wood_production,province_of_wood_production,pulp_wood_source,wood_supplier,wood_supplier_corporate_group,pulp_mill,pulp_mill_corporate_group,zero_deforestation_indonesia_wood_pulp,product_type,pulp_grade,province_of_pulp_export,importer,importer_corporate_group,country_of_importer,country_of_destination,volume,annual_woodpulp_deforestation,burned_area,co2_total_emissions_wood_pulp_exposure,concession_area,concession_deforestation,deforestation_on_peat,land_use,peat_area,remaining_forest,wood_pulp_deforestation_10_year_total_exposure,wood_pulp_production_volume_m3,province_of_wood_production_trase_id,wood_supplier_trase_id,co2_emissions_wood_pulp_burned_peat_exposure,co2_emissions_wood_pulp_subsidence_co2_exposure,co2_gross_emissions_wood_pulp_deforestation_exposure,co2_net_emissions_wood_pulp_deforestation_exposure
549,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI PERSADA PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,UNITED ARAB EMIRATES,1394.4483674141416,0.0119445031838736,0.0,-11.896725171138192,359.77440814986744,0.2094616183037464,0.0,233.98087286890168,0.0,5.467464240264887,12.619367613762552,6687.494414838792,ID-16,ID-WOOD-CONCESSION-0433,0.0,0.0,4.347799158930022,-11.896725171138192
550,2022,INDONESIA,RIAU,PLANTATION,PT SUNTARA GAJAPATI,UNKNOWN AFFILIATION,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,SOUTH KOREA,1394.0313314009782,0.0,0.0,14625.435651434602,751.8805904401951,1.1103855132320493,0.0,199.24846485989775,599.2629000241707,91.629682192668,188.0189245707641,6243.234185072566,ID-14,ID-WOOD-CONCESSION-0456,0.0,14625.435651434602,0.0,0.0
551,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT RIMBA HUTANI MAS (SUMATERA SELATAN),SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,BANGLADESH,1387.6702796939917,0.0,0.0,27327.57366440542,798.4965851992549,0.3365483217088235,0.0,407.9782203044159,604.0556454588316,54.57496803739003,292.8105592947252,6654.984529656419,ID-16,ID-WOOD-CONCESSION-0484,0.0,27428.07312159411,0.0,-100.51149016967368
552,2022,INDONESIA,KALIMANTAN BARAT,PLANTATION,PT KALIMANTAN SUBUR PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,CHINA (MAINLAND),1385.000047764523,0.0,0.0,9394.809892172108,472.3444493893708,7.762319807801479,0.0,158.82685513618068,376.9260511383998,211.71440804789944,156.05745571464857,6642.170732074181,ID-61,ID-WOOD-CONCESSION-0358,0.0,9456.27617283962,3.7764537566347314,-61.4303144412583
553,2022,INDONESIA,JAMBI,PLANTATION,PT WIRA KARYA SAKTI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,INDIA,1380.2793540500818,0.0,0.1342598490734194,7597.746431242381,377.8967218586511,0.283016509878107,0.0,249.6206499802098,136.6383544388671,29.239716655656277,33.29775884323814,5893.981048862509,ID-15,ID-WOOD-CONCESSION-0517,104.09876886098476,7504.651704913296,0.0,-11.004042531899865
554,2022,INDONESIA,RIAU,PLANTATION,PT BUKIT BATU HUTANI ALAM,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,GREAT CHAMP (L) BHD,UNKNOWN AFFILIATION,MALAYSIA,BANGLADESH,1372.8189434511664,0.0,0.0,12717.851885763384,203.55145754993248,0.0,0.0,176.20497731358284,198.8001870567223,25.35208008172781,1.9268692753177292,6148.238164921218,ID-14,ID-WOOD-CONCESSION-0483,0.0,12717.851885763384,0.0,0.0
555,2022,INDONESIA,SUMATERA SELATAN,PLANTATION,PT BUMI PERSADA PERMAI,SINAR MAS,OKI,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,SUMATERA SELATAN,GOLDEN PROFIT TRADING PTE LTD,SINAR MAS,SINGAPORE,SOUTH KOREA,1363.4606259160496,0.0116790697797876,0.0,-11.632353500668458,351.7794213020926,0.2048069156747742,0.0,228.78129791625943,0.0,5.345965034925668,12.338937222345605,6538.883427842375,ID-16,ID-WOOD-CONCESSION-0433,0.0,0.0,4.251181399842689,-11.632353500668458
556,2022,INDONESIA,RIAU,PLANTATION,PT MITRA HUTANI JAYA,SINAR MAS,INDAH KIAT,SINAR MAS,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,BRIGHTENING SKY CO LTD,UNKNOWN AFFILIATION,CHINA (HONG KONG),CHINA (MAINLAND),1362.5251874115118,0.0,0.0,8738.437842050798,182.2818068780847,0.005065989486061,0.0,119.05075292243411,179.89891552723378,18.258283040147333,5.816506446958956,6102.134439352686,ID-14,ID-WOOD-CONCESSION-0445,0.0,8738.437842050798,0.0,0.0
557,2022,INDONESIA,KALIMANTAN BARAT,PLANTATION,PT WANA SUBUR LESTARI,SUMITOMO,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,APRIL INTERNATIONAL ENTEPRISE PTE LTD,ROYAL GOLDEN EAGLE / TANOTO,SINGAPORE,CHINA (MAINLAND),1361.757608211111,0.0,0.0,34034.24679454708,1459.9861926911278,0.0424182727948502,0.0,463.7368609563501,1416.6978014799731,950.39703850963,460.2563872911316,6738.1607609289695,ID-61,ID-WOOD-CONCESSION-0289,0.0,34034.24679454708,0.0,0.0
558,2022,THAILAND,UNKNOWN,IMPORT,GLOBAL WOODCHIP TRADING CO LTD (THAILAND),UNKNOWN AFFILIATION,APRIL,ROYAL GOLDEN EAGLE / TANOTO,"{""COMPANY COMMITMENT""}",WOOD PULP CHEMICAL,PAPER GRADE PULP,RIAU,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,PROCESSED DOMESTICALLY,INDONESIA,1359.6250771333307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6727.478646607165,ID-XX,ID-WOOD-CONCESSION-0009,0.0,0.0,0.0,0.0
