,year,biome,country_of_production,product_type,zero_deforestation_bolivia_soy,province_of_production,municipality_of_production,port_of_export,exporter_group,importer_group,country,economic_bloc,volume,co2_gross_emissions_soy_deforestation_5_year_total_exposure,land_use,soy_deforestation_5_year_total_exposure,province_of_production_trase_id,municipality_of_production_trase_id
5623,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5624,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5625,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5626,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5627,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5628,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5629,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,3.95274870413392,0.8456229531356854,0.0204190094019329,BO-0711,BO-071104
5630,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},GUARAYOS,EL PUENTE,DESAGUADERO,BOLIVIANECOFOODS SRL,GREEN LAND GROUP SAC,PERU,PERU,2.5830221055361635,15.784331706125888,0.8456229531356845,0.0615646115169028,BO-0715,BO-071503
5631,2021,DRY CHACO,BOLIVIA,SOYBEAN OIL,{UNKNOWN},ANDRES IBANEZ,LA GUARDIA,TAMBO QUEMADA,UNKNOWN,UNKNOWN,PERU,PERU,2.5688352948616187,6.163912508156779,0.840978512535478,0.035334995424335,BO-0701,BO-070104
5632,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},VELASCO,SAN IGNACIO DE VELASCO,DESAGUADERO,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,REPRESENTACIONES MESAJU SRL,PERU,PERU,2.5677768142047745,151.84750172552847,0.8406319899343132,0.4789880736657181,BO-0703,BO-070301
