,year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id
459,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLETA,ADM PARAGUAY,ADM,DENMARK,EUROPEAN UNION,4140.77,1146429.2125821828,1852.623832773481,18.840503500000004,PY-14
460,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,,{NONE},CAAZAPA,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,ALGERIA,ALGERIA,4139.65,2669750.731079994,1696.5365999893636,20.0773025,PY-06
461,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,PRESIDENTE FRANCO,CARGILL AGROPECUARIA SACI,CARGILL,JAPAN,JAPAN,4101.74,1335324.7562756182,1649.8528059442058,22.969743999999995,PY-05
462,2019,CHACO HUMEDO,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",MISIONES,VILLETA,BUNGE PARAGUAY SA,BUNGE,CHILE,CHILE,4099.37,1393575.0692621025,2266.352182474565,2.4596219999999995,PY-08
463,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CAAZAPA,VILLETA,ADM PARAGUAY,ADM,DENMARK,EUROPEAN UNION,4079.17,1129373.7965663737,1671.7503176786956,19.7839745,PY-06
464,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,2.0,{NONE},ALTO PARANA,SAN ANTONIO,VICENTIN PARAGUAY,VICENTIN PARAGUAY,ARGENTINA,ARGENTINA,4073.43,1401210.3350005571,1807.4649870224848,4.480773,PY-10
465,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,IRELAND,EUROPEAN UNION,4008.02,321309.4603850272,1612.1555835524669,22.444911999999995,PY-05
466,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,VILLETA,ADM PARAGUAY,ADM,PERU,PERU,3964.09,1258951.3760137726,1758.9485716965703,4.360499000000001,PY-10
467,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",SAN PEDRO,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,SAUDI ARABIA,SAUDI ARABIA,3860.73,973177.3062423826,1592.5051302880506,79.91711099999999,PY-02
468,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,4.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,ADM PARAGUAY,ADM,SPAIN,EUROPEAN UNION,3860.4,2329884.27934075,1552.7780337288596,21.618239999999997,PY-05
469,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ITAPUA,VILLETA,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,CHILE,CHILE,3847.79,1307274.2050458477,1465.335973584348,5.386905999999999,PY-07
